file_name,sha256,size_bytes,width,height,annotation_count,domain,source_type,generator,generator_model,generation_session_id,prompt_id,vehicle_family,intended_condition,generation_group_id,parent_source_image,review_status,split
exec-7e536cca-c9ec-481d-96e9-b46ffe127aa3.png,125ba5f40dbf87a4c3ab761243a6214ebb5581737b7eae81523209c14d8644e9,2696754,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,11_m1114_weapon_station_damaged,M1114,bent gun ring and damaged weapon,01a04411-3958-7240-9f6b-677f4af4af60:11_m1114_weapon_station_damaged,,cvat_annotations_received_pending_synthetic_qa,
exec-fd6916d4-b56f-4f06-bd76-b539b605967f.png,0a6a1f7b69728db61565fa14a3786c6df349451d17cac315351a8d960df799f9,2351123,1628,966,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,12_m1151_comms_damaged,M1151,broken antennas and damaged radio equipment,01a04411-3958-7240-9f6b-677f4af4af60:12_m1151_comms_damaged,,cvat_annotations_received_pending_synthetic_qa,
exec-54237c45-196d-4f8d-8c01-c9b955a3352c.png,e6cbc9e9bda4c00d7856be89bb5b2850bce688dca9cf94abae4065159059bb2d,2715386,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,13_m1114_two_flat_door_damage,M1114,two deflated tires and dented armored door,01a04411-3958-7240-9f6b-677f4af4af60:13_m1114_two_flat_door_damage,,cvat_annotations_received_pending_synthetic_qa,
exec-516d3535-eb1a-46d6-904b-388f8b60a3a9.png,6b39e9f210d4f1d18220245d184713582f766fb19bec202520108d11557bceae,2606365,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,14_m1151_cracked_windshield_broken_comms,M1151,cracked windshield and snapped antennas,01a04411-3958-7240-9f6b-677f4af4af60:14_m1151_cracked_windshield_broken_comms,,cvat_annotations_received_pending_synthetic_qa,
exec-597297fc-4c95-44be-a5f6-45cfadb18626.png,b34a49c027e676ab57e7dbba753b4ea2ded007d09d4da69cd74bbdc9c6690985,2759394,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,15_m1114_burned_engine_flat_tire,M1114,destroyed front tire and fire-damaged engine bay,01a04411-3958-7240-9f6b-677f4af4af60:15_m1114_burned_engine_flat_tire,,cvat_annotations_received_pending_synthetic_qa,
exec-2196d25a-90b2-4d9b-9a5c-f9e5770f49e8.png,591f361fa17b543daf0d2d23bece01685afa22feabb3696d5cca94e4bafe6d1c,2628840,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,16_m1151_windshield_out_door_damage,M1151,missing windshield and damaged front door,01a04411-3958-7240-9f6b-677f4af4af60:16_m1151_windshield_out_door_damage,,cvat_annotations_received_pending_synthetic_qa,
exec-40053e27-68a5-4d2b-9e08-f4019573d5b4.png,4c332aa1bad6802be5062a3b99782f84370e436d621a362372e47fdff5c8e4a0,2372455,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,17_m1114_weapon_comms_damage,M1114,damaged weapon station and communications equipment,01a04411-3958-7240-9f6b-677f4af4af60:17_m1114_weapon_comms_damage,,cvat_annotations_received_pending_synthetic_qa,
exec-4d666161-0a25-4376-bcb5-6d09dd53b6f8.png,f41870900704df585ebe4815c0939e83129455087da8eca68471a88f2cb3176e,2645499,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,18_m1151_three_flat_tires,M1151,three destroyed tires,01a04411-3958-7240-9f6b-677f4af4af60:18_m1151_three_flat_tires,,cvat_annotations_received_pending_synthetic_qa,
exec-16aa96fa-5269-4ea5-9ecf-e6516adbe73f.png,1df851dae8aceb674a6d1de1bb1c0246b54cd8713dd49cffb45a5b1f293a7c07,2761167,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,19_m1114_destroyed_engine,M1114,burned-out engine bay,01a04411-3958-7240-9f6b-677f4af4af60:19_m1114_destroyed_engine,,cvat_annotations_received_pending_synthetic_qa,
exec-11bc9a67-edc6-499c-9632-b137fd4bb405.png,a0cba9bed5c0a93ff5abe48f1797ed2090ceeff9fddf663096e59b7917660bcb,2464295,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,20_m1151_destroyed_cab_glass,M1151,windshield and front side windows blown out,01a04411-3958-7240-9f6b-677f4af4af60:20_m1151_destroyed_cab_glass,,cvat_annotations_received_pending_synthetic_qa,
exec-0ce2c907-2f6e-4e19-9935-9ec1e14ef7ff.png,9fa8eaedcd2c33d8ac0041946f5a026af80d3328895709fafe063d8e43b5e934,2305000,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,21_m1114_destroyed_door,M1114,front armored door twisted open,01a04411-3958-7240-9f6b-677f4af4af60:21_m1114_destroyed_door,,cvat_annotations_received_pending_synthetic_qa,
exec-9aa52de3-07f4-4778-b38b-36c23aa321e8.png,ee0a69627f3bcd1106f97f4db831dc7b229683801dd5570fb9d4ba75b1115b12,2636303,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,22_m1151_destroyed_weapon_station,M1151,destroyed weapon station,01a04411-3958-7240-9f6b-677f4af4af60:22_m1151_destroyed_weapon_station,,cvat_annotations_received_pending_synthetic_qa,
exec-51224d86-d526-4c70-a9de-6c70c9067ff4.png,a767c67400d2e08daa1f192f1f103bcdc609fc344a930c62e9431742aaa8e36d,2677451,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,23_m1114_destroyed_comms,M1114,destroyed communications equipment,01a04411-3958-7240-9f6b-677f4af4af60:23_m1114_destroyed_comms,,cvat_annotations_received_pending_synthetic_qa,
exec-ffbcb6d4-ff4c-428e-8830-980521f67d09.png,d010985a858ad931f1a4c2d7364804e0b5a467997c73d57d13a9a06e12d487d0,2367195,1499,1049,7,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,24_m1151_wreck_tires_engine,M1151,"shredded tires, cracked windshield, burned engine, damaged comms",01a04411-3958-7240-9f6b-677f4af4af60:24_m1151_wreck_tires_engine,,cvat_annotations_received_pending_synthetic_qa,
exec-67a994cf-f5ea-47c6-b7c3-ac74c0679002.png,ab19dc7d3806ef1ad4058c97435f310c43aee30d315330d6a7af4484cd28e846,2617497,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,25_m1114_intact_light_scorch,M1114,tracked components intact with light exterior scorch,01a04411-3958-7240-9f6b-677f4af4af60:25_m1114_intact_light_scorch,,cvat_annotations_received_pending_synthetic_qa,
exec-dee60ab3-ff34-47d7-ad62-d5c093d5a990.png,5fe670737e98807b81061d34d7aff8a2283cf013e6ff280edaa00ade9b5ecb53,2505966,1536,1024,9,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,26_m1151_intact_no_weapon,M1151,tracked components intact with empty weapon station,01a04411-3958-7240-9f6b-677f4af4af60:26_m1151_intact_no_weapon,,cvat_annotations_received_pending_synthetic_qa,
exec-0a0b7d16-0de8-43d1-bd03-991938d29339.png,a2d6a25d7bf7b6394010c1415c43a52120a5707907b614ba6da8000728e90463,2708666,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,27_m1114_windshield_tire_door,M1114,"destroyed tire, cracked windshield, and dented door",01a04411-3958-7240-9f6b-677f4af4af60:27_m1114_windshield_tire_door,,cvat_annotations_received_pending_synthetic_qa,
exec-ad1f1220-9c51-4b4e-af6a-74d2d4546116.png,bcd0393048068fcbdd6e8fe88fb1fc5e42750886c74fe95b351cac6d9b6f4ec2,2554525,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,28_m1151_engine_comms_weapon,M1151,"damaged engine bay, weapon station, and communications equipment",01a04411-3958-7240-9f6b-677f4af4af60:28_m1151_engine_comms_weapon,,cvat_annotations_received_pending_synthetic_qa,
exec-5832f4af-dd13-41aa-a551-4d4dae5bd329.png,aae2a860cd5ce46803b6b2a32869815c0addfb739fff1aff697e3fc497623447,2786133,1536,1024,6,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,29_m1114_destroyed_cab_and_comms,M1114,"missing windshield, damaged doors, and destroyed communications equipment",01a04411-3958-7240-9f6b-677f4af4af60:29_m1114_destroyed_cab_and_comms,,cvat_annotations_received_pending_synthetic_qa,
exec-a1e315b5-18ca-402a-9944-16723ad6a51d.png,071bdc8585a72a7997dcee0932ce8c5833471514fda15969a169614201b5d4b3,2571774,1536,1024,8,synthetic,text_to_image,OpenAI image generation tool,not recorded,01a04411-3958-7240-9f6b-677f4af4af60,30_m1151_heavily_damaged_wreck,M1151,heavily damaged multi-component wreck,01a04411-3958-7240-9f6b-677f4af4af60:30_m1151_heavily_damaged_wreck,,cvat_annotations_received_pending_synthetic_qa,
